"Name","IPAddress","Status","ErrorMessage"
"agsw10mj070l06","10.15.2.14","OK",""
"agsw10pf18nu7r","10.15.2.13","OK",""
"agsw10pf18q1cv","10.15.2.12","OK",""
"aguascalientes","","NOT_OK","aguascalientes : El nombre DNS no existe"
"almw10mj07e3p5","","NOT_OK","almw10mj07e3p5 : El nombre DNS no existe"
"ap-batan-1","","NOT_OK","ap-batan-1 : El nombre DNS no existe"
"ap-batan-2","","NOT_OK","ap-batan-2 : El nombre DNS no existe"
"ap-batan-servicio-medico","","NOT_OK","ap-batan-servicio-medico : El nombre DNS no existe"
"ap-m-1","","NOT_OK","ap-m-1 : El nombre DNS no existe"
"ap-p1-1","","NOT_OK","ap-p1-1 : El nombre DNS no existe"
"ap-p1-2","","NOT_OK","ap-p1-2 : El nombre DNS no existe"
"ap-p1-3","","NOT_OK","ap-p1-3 : El nombre DNS no existe"
"ap-p1-4","","NOT_OK","ap-p1-4 : El nombre DNS no existe"
"ap-p1-sala","","NOT_OK","ap-p1-sala : El nombre DNS no existe"
"ap-p2-1","","NOT_OK","ap-p2-1 : El nombre DNS no existe"
"ap-p2-2","","NOT_OK","ap-p2-2 : El nombre DNS no existe"
"ap-p2-3","","NOT_OK","ap-p2-3 : El nombre DNS no existe"
"ap-p2-4","","NOT_OK","ap-p2-4 : El nombre DNS no existe"
"ap-p2-5","","NOT_OK","ap-p2-5 : El nombre DNS no existe"
"ap-p3-1","","NOT_OK","ap-p3-1 : El nombre DNS no existe"
"ap-p3-2","","NOT_OK","ap-p3-2 : El nombre DNS no existe"
"ap-p3-3","","NOT_OK","ap-p3-3 : El nombre DNS no existe"
"ap-p3-4","","NOT_OK","ap-p3-4 : El nombre DNS no existe"
"ap-p4-1","","NOT_OK","ap-p4-1 : El nombre DNS no existe"
"ap-p4-2","","NOT_OK","ap-p4-2 : El nombre DNS no existe"
"ap-p4-3","","NOT_OK","ap-p4-3 : El nombre DNS no existe"
"ap-p4-4","","NOT_OK","ap-p4-4 : El nombre DNS no existe"
"ap-p5-1","","NOT_OK","ap-p5-1 : El nombre DNS no existe"
"ap-p5-2","","NOT_OK","ap-p5-2 : El nombre DNS no existe"
"ap-p5-3","","NOT_OK","ap-p5-3 : El nombre DNS no existe"
"ap-p5-4","","NOT_OK","ap-p5-4 : El nombre DNS no existe"
"ap-p5-5","","NOT_OK","ap-p5-5 : El nombre DNS no existe"
"ap-p6-1","","NOT_OK","ap-p6-1 : El nombre DNS no existe"
"ap-p6-2","","NOT_OK","ap-p6-2 : El nombre DNS no existe"
"ap-p6-3","","NOT_OK","ap-p6-3 : El nombre DNS no existe"
"ap-p6-4","","NOT_OK","ap-p6-4 : El nombre DNS no existe"
"ap-p7-1","","NOT_OK","ap-p7-1 : El nombre DNS no existe"
"ap-p7-2","","NOT_OK","ap-p7-2 : El nombre DNS no existe"
"ap-p7-3","","NOT_OK","ap-p7-3 : El nombre DNS no existe"
"ap-p7-4","","NOT_OK","ap-p7-4 : El nombre DNS no existe"
"ap-p7-5","","NOT_OK","ap-p7-5 : El nombre DNS no existe"
"ap-p7-6","","NOT_OK","ap-p7-6 : El nombre DNS no existe"
"ap-p8-1","","NOT_OK","ap-p8-1 : El nombre DNS no existe"
"ap-p8-2","","NOT_OK","ap-p8-2 : El nombre DNS no existe"
"ap-p8-3","","NOT_OK","ap-p8-3 : El nombre DNS no existe"
"ap-p8-4","","NOT_OK","ap-p8-4 : El nombre DNS no existe"
"ap-p9-1","","NOT_OK","ap-p9-1 : El nombre DNS no existe"
"ap-p9-2","","NOT_OK","ap-p9-2 : El nombre DNS no existe"
"ap-p9-3","","NOT_OK","ap-p9-3 : El nombre DNS no existe"
"ap-p9-4","","NOT_OK","ap-p9-4 : El nombre DNS no existe"
"ap-pb-1","","NOT_OK","ap-pb-1 : El nombre DNS no existe"
"ap-pb-2","","NOT_OK","ap-pb-2 : El nombre DNS no existe"
"ap-pb-3","","NOT_OK","ap-pb-3 : El nombre DNS no existe"
"ap-pb-4","","NOT_OK","ap-pb-4 : El nombre DNS no existe"
"ap-pb-5","","NOT_OK","ap-pb-5 : El nombre DNS no existe"
"ap-pb-6","","NOT_OK","ap-pb-6 : El nombre DNS no existe"
"ap-sotano-2-1","","NOT_OK","ap-sotano-2-1 : El nombre DNS no existe"
"ap-sotano-2-2","","NOT_OK","ap-sotano-2-2 : El nombre DNS no existe"
"banobras-batan-fw-01","","NOT_OK","banobras-batan-fw-01 : El nombre DNS no existe"
"banobras-batan-fw-02","","NOT_OK","banobras-batan-fw-02 : El nombre DNS no existe"
"banobras-stafe-fwint-01","","NOT_OK","banobras-stafe-fwint-01 : El nombre DNS no existe"
"banobras-stafe-fwint-02","","NOT_OK","banobras-stafe-fwint-02 : El nombre DNS no existe"
"banobras-stafe-fwips-01","","NOT_OK","banobras-stafe-fwips-01 : El nombre DNS no existe"
"banobras-stafe-fwips-02","","NOT_OK","banobras-stafe-fwips-02 : El nombre DNS no existe"
"banrestore","172.27.206.129","OK",""
"bansbalancesc01","172.27.206.43","OK",""
"banspavmc","172.28.51.10","OK",""
"banspcitrix03","172.17.206.63","OK",""
"banspdcgca01","172.17.206.1","OK",""
"banspdcgca02","172.17.206.2","OK",""
"banspdcgcb01","172.27.206.3","OK",""
"banspdcgcb02","172.27.206.4","OK",""
"banspexedgb02","","NOT_OK","banspexedgb02 : El nombre DNS no existe"
"banspsccmb01","172.27.206.42","OK",""
"banspsivarmera","172.17.205.7","OK",""
"banw10mj070l2w","10.15.98.62","OK",""
"batw10mj070lfd","10.15.98.20","OK",""
"batw10mj070lfe","10.15.98.71","OK",""
"batw10mj070lg2","10.15.98.52","OK",""
"batw10mj070lg6","10.15.98.63","OK",""
"batw10mj070lgu","","NOT_OK","batw10mj070lgu : El nombre DNS no existe"
"batw10mj070lhf","","NOT_OK","batw10mj070lhf : El nombre DNS no existe"
"batw10mj070lhk","10.15.100.24","OK",""
"batw10mj070lhr","10.15.98.59","OK",""
"batw10mj070ljf","10.15.98.51","OK",""
"batw10mj070lkv","","NOT_OK","batw10mj070lkv : El nombre DNS no existe"
"batw10mj070lkx","10.15.98.58","OK",""
"batw10mj070llu","10.15.98.70","OK",""
"batw10mj070lq1","10.15.98.65","OK",""
"batw10mj070lql","","NOT_OK","batw10mj070lql : El nombre DNS no existe"
"batw10mj077ffv","","NOT_OK","batw10mj077ffv : El nombre DNS no existe"
"bcnw10mj070kxw","10.15.3.13","OK",""
"bcnw10mj070l0s","10.15.3.16","OK",""
"bcnw10pf18nz9b","10.15.3.14","OK",""
"bcnw10pf18py4a","","NOT_OK","bcnw10pf18py4a : El nombre DNS no existe"
"bcsw10mj070kz6","10.15.4.12","OK",""
"bcsw10pf18p7e4","10.15.4.13","OK",""
"bcsw10pf18qg02","10.15.4.11","OK",""
"bnoappweb-a","172.17.90.49","OK",""
"bnocitrixappl-a","172.17.90.249","OK",""
"bnodappweb-b","172.27.201.71","OK",""
"bnodbalance-b","172.27.213.2","OK",""
"bnodbastion-b","172.27.213.1","OK",""
"bnodbatanapp-b","172.27.201.59","OK",""
"bnodbdindeval-b","172.28.220.131","OK",""
"bnodbdosb-b","172.27.208.18","OK",""
"bnodbdsql1-b","172.27.203.37","OK",""
"bnodbdsql2-b","172.27.203.36","OK",""
"bnodbo01-b","172.27.90.169","OK",""
"bnodbootstrp-b","172.27.213.3","OK",""
"bnodcapsule-b","172.27.206.130","OK",""
"bnodcartera07-b","172.27.90.201","OK",""
"bnodcarteraat-b","172.27.202.22","OK",""
"bnodcarteracon","172.27.90.9","OK",""
"bnodcarteragrp","172.27.91.49","OK",""
"bnodcarterapd-b","172.27.202.24","OK",""
"bnodcashcs2-b","172.27.90.153","OK",""
"bnodcashnet-b","172.27.203.35","OK",""
"bnodcashweb-b","172.27.204.31","OK",""
"bnodcasrvcatser","172.27.223.1","OK",""
"bnodcasrvdb","172.27.223.2","OK",""
"bnodcasrvproce","172.27.223.3","OK",""
"bnodcasrvweb","172.27.223.4","OK",""
"bnodcfd-b","172.27.207.78","OK",""
"bnodcg01-b","172.27.207.34","OK",""
"bnodcg02-b","","NOT_OK","bnodcg02-b : El nombre DNS no existe"
"bnodcgd-b","172.27.201.121","OK",""
"bnodcgdq-b","172.27.201.86","OK",""
"bnodcgdupg-b","172.27.201.69","OK",""
"bnodcitrix10-b","172.27.207.81","OK",""
"bnodcitrix-b","172.27.90.177","OK",""
"bnodcitrixp-b","172.27.90.97","OK",""
"bnodcitrixppl2-b","172.27.204.41","OK",""
"bnodcitrixppl-b","172.27.90.121","OK",""
"bnodcoaspei-b","172.27.204.27","OK",""
"bnodconsca-b","172.27.206.88","OK",""
"bnodcontaupg-b","172.27.201.118","OK",""
"bnodctxcashb","172.27.204.28","OK",""
"bnodctxdc-b","172.27.207.114","OK",""
"bnodctxderi1b","172.27.204.30","OK",""
"bnodctxls-b","172.27.207.115","OK",""
"bnodctxsf-b","172.27.207.116","OK",""
"bnodctxteso1b","172.27.204.29","OK",""
"bnodctxvarm-b","172.27.205.18","OK",""
"bnoddeployos-b","172.27.206.47","OK",""
"bnodderiva-b","172.27.211.58","OK",""
"bnoddsis12020-b","172.27.207.95","OK",""
"bnodevalfr-b","","NOT_OK","bnodevalfr-b : El nombre DNS no existe"
"bnodevef-b","","NOT_OK","bnodevef-b : El nombre DNS no existe"
"bnodevmap-b","","NOT_OK","bnodevmap-b : El nombre DNS no existe"
"bnodevpid-b","172.27.211.30","OK",""
"bnodevpst-b","","NOT_OK","bnodevpst-b : El nombre DNS no existe"
"bnodfidupg-b","172.27.201.70","OK",""
"bnodfiscal01-b","172.27.91.33","OK",""
"bnodfiscal02-b","172.27.207.10","OK",""
"bnodfiscal-b","172.27.201.107","OK",""
"bnodfonadin-b","172.27.207.90","OK",""
"bnodfonadinf-b","172.27.207.110","OK",""
"bnodgapsys-b","172.27.207.63","OK",""
"bnodgepi-b","172.27.211.11","OK",""
"bnodgitharbo-b","172.27.201.116","OK",""
"bnodgraylog-b","","NOT_OK","bnodgraylog-b : El nombre DNS no existe"
"bnodideriv2-b","","NOT_OK","bnodideriv2-b : El nombre DNS no existe"
"bnodideriv-b","172.27.90.113","OK",""
"bnodifrspce-b","172.27.206.142","OK",""
"bnodiisapp-b","172.27.90.193","OK",""
"bnodiisappupg-b","172.27.201.117","OK",""
"bnodikos-b","172.27.203.21","OK",""
"bnodikoscash-b","172.27.207.65","OK",""
"bnodikosesb02-b","172.27.207.35","OK",""
"bnodimp01-b","172.27.206.146","OK",""
"bnodindeval03-b","172.27.207.72","OK",""
"bnodindeval-b","172.28.220.130","OK",""
"bnodinnegs-b","","NOT_OK","bnodinnegs-b : El nombre DNS no existe"
